Rmonth,Plot,season,Treat,enzyme,assayT,Vmax
11,9,W,Control,CEase,10,0.23
11,1,W,Control,LPase,10,8.19
11,3,W,Control,LPase,10,8.62
11,5,W,Control,LPase,10,9.45
11,4,W,Control,LPase,10,14.75
11,9,W,Control,LPase,10,9.47
11,1,W,Control,Pase,10,9.34
11,3,W,Control,Pase,10,9.09
11,5,W,Control,Pase,10,16.12
11,4,W,Control,Pase,10,18.1
11,9,W,Control,Pase,10,11.64
11,1,W,Control,Nase,10,1.81
11,3,W,Control,Nase,10,2.06
11,5,W,Control,Nase,10,3.43
11,4,W,Control,Nase,10,3.38
11,9,W,Control,Nase,10,2.21
11,1,W,Control,PXase,10,157.9
11,3,W,Control,PXase,10,191.17
11,5,W,Control,PXase,10,127.4
11,4,W,Control,PXase,10,125.59
11,9,W,Control,PXase,10,134.48
11,1,W,Control,Sase,10,2.31
11,3,W,Control,Sase,10,2.24
11,5,W,Control,Sase,10,3.78
11,4,W,Control,Sase,10,3.81
11,9,W,Control,Sase,10,2.46
11,1,W,Control,XYase,10,0.22
11,3,W,Control,XYase,10,0.44
11,5,W,Control,XYase,10,0.37
11,4,W,Control,XYase,10,0.32
11,9,W,Control,XYase,10,0.36
11,1,W,+8°C,AGase,10,0.01
11,3,W,+8°C,AGase,10,0.01
11,5,W,+8°C,AGase,10,0.03
11,4,W,+8°C,AGase,10,0.06
11,9,W,+8°C,AGase,10,0.06
11,1,W,+8°C,BGase,10,1.36
11,3,W,+8°C,BGase,10,0.71
11,5,W,+8°C,BGase,10,2.16
11,4,W,+8°C,BGase,10,2.53
11,9,W,+8°C,BGase,10,3.41
11,1,W,+8°C,BPase,10,1.68
11,3,W,+8°C,BPase,10,0.66
11,5,W,+8°C,BPase,10,2.76
11,4,W,+8°C,BPase,10,2.55
11,9,W,+8°C,BPase,10,2.58
11,1,W,+8°C,CEase,10,0.24
11,3,W,+8°C,CEase,10,0.16
11,5,W,+8°C,CEase,10,0.2
11,4,W,+8°C,CEase,10,0.19
11,9,W,+8°C,CEase,10,0.5
11,1,W,+8°C,LPase,10,8.6
11,3,W,+8°C,LPase,10,2.34
11,5,W,+8°C,LPase,10,6.03
11,4,W,+8°C,LPase,10,14.33
11,9,W,+8°C,LPase,10,12.73
11,1,W,+8°C,Pase,10,9.7
11,3,W,+8°C,Pase,10,4.95
11,5,W,+8°C,Pase,10,14.73
11,4,W,+8°C,Pase,10,13.46
11,9,W,+8°C,Pase,10,16.34
11,1,W,+8°C,Nase,10,1.28
11,3,W,+8°C,Nase,10,0.62
11,5,W,+8°C,Nase,10,1.4
11,4,W,+8°C,Nase,10,2.48
11,9,W,+8°C,Nase,10,2.57
11,1,W,+8°C,PXase,10,225.87
11,3,W,+8°C,PXase,10,195.83
11,5,W,+8°C,PXase,10,135.89
11,4,W,+8°C,PXase,10,122.18
11,9,W,+8°C,PXase,10,144.37
11,1,W,+8°C,Sase,10,0.9
11,3,W,+8°C,Sase,10,0.45
11,5,W,+8°C,Sase,10,1.53
11,4,W,+8°C,Sase,10,3.58
11,9,W,+8°C,Sase,10,3.96
11,1,W,+8°C,XYase,10,0.27
11,3,W,+8°C,XYase,10,0.16
11,5,W,+8°C,XYase,10,0.3
11,4,W,+8°C,XYase,10,0.21
11,9,W,+8°C,XYase,10,0.33
11,1,W,Control,AGase,23,0.09
11,3,W,Control,AGase,23,0.1
11,5,W,Control,AGase,23,0.12
11,4,W,Control,AGase,23,0.2
11,9,W,Control,AGase,23,0.22
11,1,W,Control,BGase,23,4.29
11,3,W,Control,BGase,23,5.52
11,5,W,Control,BGase,23,6.03
11,4,W,Control,BGase,23,6.55
11,9,W,Control,BGase,23,5.81
11,1,W,Control,BPase,23,3.22
11,3,W,Control,BPase,23,2.25
11,5,W,Control,BPase,23,4.57
11,4,W,Control,BPase,23,4.21
11,9,W,Control,BPase,23,3.25
11,1,W,Control,CEase,23,0.81
11,3,W,Control,CEase,23,1.26
11,5,W,Control,CEase,23,0.93
11,4,W,Control,CEase,23,0.8
11,9,W,Control,CEase,23,0.47
11,1,W,Control,LPase,23,14.84
11,3,W,Control,LPase,23,17.88
11,5,W,Control,LPase,23,21.88
11,4,W,Control,LPase,23,28.07
11,9,W,Control,LPase,23,19.78
11,1,W,Control,Pase,23,14.77
11,3,W,Control,Pase,23,13.09
11,5,W,Control,Pase,23,23.3
11,4,W,Control,Pase,23,25.47
11,9,W,Control,Pase,23,17.57
11,1,W,Control,Nase,23,3.39
11,3,W,Control,Nase,23,4.31
11,5,W,Control,Nase,23,5.65
11,4,W,Control,Nase,23,5.03
11,9,W,Control,Nase,23,3.84
11,1,W,Control,PXase,23,150.28
11,3,W,Control,PXase,23,220.18
11,5,W,Control,PXase,23,232.6
11,4,W,Control,PXase,23,156.34
11,9,W,Control,PXase,23,233.82
11,1,W,Control,Sase,23,3.26
11,3,W,Control,Sase,23,3.32
11,5,W,Control,Sase,23,6.34
11,4,W,Control,Sase,23,5.59
11,9,W,Control,Sase,23,4.21
11,1,W,Control,XYase,23,0.44
11,3,W,Control,XYase,23,1.04
11,5,W,Control,XYase,23,0.85
11,4,W,Control,XYase,23,0.7
11,9,W,Control,XYase,23,0.64
11,1,W,+8°C,AGase,23,0.11
11,3,W,+8°C,AGase,23,0.06
11,5,W,+8°C,AGase,23,0.05
11,4,W,+8°C,AGase,23,0.22
11,9,W,+8°C,AGase,23,0.14
11,1,W,+8°C,BGase,23,2.13
11,3,W,+8°C,BGase,23,1.39
11,5,W,+8°C,BGase,23,3.22
11,4,W,+8°C,BGase,23,3.82
11,9,W,+8°C,BGase,23,5.08
11,1,W,+8°C,BPase,23,2.48
11,3,W,+8°C,BPase,23,1.31
11,5,W,+8°C,BPase,23,3.87
11,4,W,+8°C,BPase,23,3.53
11,9,W,+8°C,BPase,23,3.96
11,1,W,+8°C,CEase,23,0.52
11,3,W,+8°C,CEase,23,0.53
11,5,W,+8°C,CEase,23,0.64
11,4,W,+8°C,CEase,23,0.52
11,9,W,+8°C,CEase,23,0.9
11,1,W,+8°C,LPase,23,13.69
11,3,W,+8°C,LPase,23,7.63
11,5,W,+8°C,LPase,23,14.26
11,4,W,+8°C,LPase,23,28.98
11,9,W,+8°C,LPase,23,24.9
11,1,W,+8°C,Pase,23,12.93
11,3,W,+8°C,Pase,23,7.44
11,5,W,+8°C,Pase,23,23.6
11,4,W,+8°C,Pase,23,18.53
11,9,W,+8°C,Pase,23,22.55
11,1,W,+8°C,Nase,23,1.49
11,3,W,+8°C,Nase,23,0.8
11,5,W,+8°C,Nase,23,2.13
11,4,W,+8°C,Nase,23,4.36
11,9,W,+8°C,Nase,23,4.61
11,1,W,+8°C,PXase,23,158.29
11,3,W,+8°C,PXase,23,189.02
11,5,W,+8°C,PXase,23,216.95
11,4,W,+8°C,PXase,23,171.54
11,9,W,+8°C,PXase,23,242.58
11,1,W,+8°C,Sase,23,2.84
11,3,W,+8°C,Sase,23,1.37
11,5,W,+8°C,Sase,23,2.92
11,4,W,+8°C,Sase,23,5.38
11,9,W,+8°C,Sase,23,7.04
11,1,W,+8°C,XYase,23,0.86
11,3,W,+8°C,XYase,23,0.32
11,5,W,+8°C,XYase,23,0.63
11,4,W,+8°C,XYase,23,0.5
11,9,W,+8°C,XYase,23,0.75
11,1,W,Control,AGase,30,0.3
11,3,W,Control,AGase,30,0.19
11,5,W,Control,AGase,30,0.55
11,4,W,Control,AGase,30,0.43
11,9,W,Control,AGase,30,0.23
11,1,W,Control,BGase,30,6.93
11,3,W,Control,BGase,30,6.99
11,5,W,Control,BGase,30,14.01
11,4,W,Control,BGase,30,10.89
11,9,W,Control,BGase,30,10.15
11,1,W,Control,BPase,30,6.17
11,3,W,Control,BPase,30,3.45
11,5,W,Control,BPase,30,8.83
11,4,W,Control,BPase,30,7.28
11,9,W,Control,BPase,30,5.46
11,1,W,Control,CEase,30,1.44
11,3,W,Control,CEase,30,1.74
11,5,W,Control,CEase,30,3.06
11,4,W,Control,CEase,30,2.3
11,9,W,Control,CEase,30,2.26
11,1,W,Control,LPase,30,32.92
11,3,W,Control,LPase,30,26.21
11,5,W,Control,LPase,30,39.69
11,4,W,Control,LPase,30,57.56
11,9,W,Control,LPase,30,43.09
11,1,W,Control,Pase,30,25.75
11,3,W,Control,Pase,30,22.43
11,5,W,Control,Pase,30,46.7
11,4,W,Control,Pase,30,41.68
11,9,W,Control,Pase,30,26.88
11,1,W,Control,Nase,30,8.67
11,3,W,Control,Nase,30,5.59
11,5,W,Control,Nase,30,12.19
11,4,W,Control,Nase,30,10.7
11,9,W,Control,Nase,30,7.57
11,1,W,Control,PXase,30,125.5
11,3,W,Control,PXase,30,248.41
11,5,W,Control,PXase,30,224.13
11,4,W,Control,PXase,30,205.87
11,9,W,Control,PXase,30,300.14
11,1,W,Control,Sase,30,6.11
11,3,W,Control,Sase,30,5.99
11,5,W,Control,Sase,30,9.98
11,4,W,Control,Sase,30,9.82
11,9,W,Control,Sase,30,6.6
11,1,W,Control,XYase,30,1.21
11,3,W,Control,XYase,30,1.36
11,5,W,Control,XYase,30,1.69
11,4,W,Control,XYase,30,1.29
11,9,W,Control,XYase,30,1.09
11,1,W,+8°C,AGase,30,0.09
11,3,W,+8°C,AGase,30,0.03
11,5,W,+8°C,AGase,30,0.14
11,4,W,+8°C,AGase,30,0.37
11,9,W,+8°C,AGase,30,0.26
11,1,W,+8°C,BGase,30,6.21
11,3,W,+8°C,BGase,30,2.51
11,5,W,+8°C,BGase,30,6.09
11,4,W,+8°C,BGase,30,7.79
11,9,W,+8°C,BGase,30,8.89
11,1,W,+8°C,BPase,30,4.84
11,3,W,+8°C,BPase,30,2.69
11,5,W,+8°C,BPase,30,6.09
11,4,W,+8°C,BPase,30,6.44
11,9,W,+8°C,BPase,30,5.61
11,1,W,+8°C,CEase,30,1.66
11,3,W,+8°C,CEase,30,0.52
11,5,W,+8°C,CEase,30,1.19
11,4,W,+8°C,CEase,30,1.36
11,9,W,+8°C,CEase,30,1.61
11,1,W,+8°C,LPase,30,33.83
11,3,W,+8°C,LPase,30,9.83
11,5,W,+8°C,LPase,30,25.18
11,4,W,+8°C,LPase,30,57.13
11,9,W,+8°C,LPase,30,46.72
11,1,W,+8°C,Pase,30,22.83
11,3,W,+8°C,Pase,30,14.06
11,5,W,+8°C,Pase,30,37.06
11,4,W,+8°C,Pase,30,31.04
11,9,W,+8°C,Pase,30,31.95
11,1,W,+8°C,Nase,30,4.13
11,3,W,+8°C,Nase,30,2.42
11,5,W,+8°C,Nase,30,4.91
11,4,W,+8°C,Nase,30,7.13
11,9,W,+8°C,Nase,30,7.77
11,1,W,+8°C,PXase,30,168.66
11,3,W,+8°C,PXase,30,200.07
11,5,W,+8°C,PXase,30,213.8
11,4,W,+8°C,PXase,30,233.3
11,9,W,+8°C,PXase,30,261.78
11,1,W,+8°C,Sase,30,6.08
11,3,W,+8°C,Sase,30,1.37
11,5,W,+8°C,Sase,30,4.84
11,4,W,+8°C,Sase,30,9.54
11,9,W,+8°C,Sase,30,10.14
11,1,W,+8°C,XYase,30,2.03
11,3,W,+8°C,XYase,30,0.65
11,5,W,+8°C,XYase,30,1.47
11,4,W,+8°C,XYase,30,1.32
11,9,W,+8°C,XYase,30,1.38
11,1,W,Control,AGase,40,0.39
11,3,W,Control,AGase,40,0.37
11,5,W,Control,AGase,40,0.46
11,4,W,Control,AGase,40,0.58
11,9,W,Control,AGase,40,0.9
11,1,W,Control,BGase,40,9.99
11,3,W,Control,BGase,40,14.1
11,5,W,Control,BGase,40,15.99
11,4,W,Control,BGase,40,17.45
11,9,W,Control,BGase,40,18.56
11,1,W,Control,BPase,40,6.05
11,3,W,Control,BPase,40,5.78
11,5,W,Control,BPase,40,12.38
11,4,W,Control,BPase,40,10.46
11,9,W,Control,BPase,40,7.57
11,1,W,Control,CEase,40,2.66
11,3,W,Control,CEase,40,3.19
11,5,W,Control,CEase,40,3.33
11,4,W,Control,CEase,40,8.25
11,9,W,Control,CEase,40,3.25
11,1,W,Control,LPase,40,49.84
11,3,W,Control,LPase,40,44.56
11,5,W,Control,LPase,40,64.82
11,4,W,Control,LPase,40,NA
11,9,W,Control,LPase,40,46.88
11,1,W,Control,Pase,40,31.09
11,3,W,Control,Pase,40,31.31
11,5,W,Control,Pase,40,68.33
11,4,W,Control,Pase,40,55.78
11,9,W,Control,Pase,40,37.33
11,1,W,Control,Nase,40,9.7
11,3,W,Control,Nase,40,12.6
11,5,W,Control,Nase,40,14.33
11,4,W,Control,Nase,40,15.34
11,9,W,Control,Nase,40,14.97
11,1,W,Control,PXase,40,149.24
11,3,W,Control,PXase,40,218.59
11,5,W,Control,PXase,40,297.73
11,4,W,Control,PXase,40,357.71
11,9,W,Control,PXase,40,419.34
11,1,W,Control,Sase,40,6.94
11,3,W,Control,Sase,40,7.54
11,5,W,Control,Sase,40,14.81
11,4,W,Control,Sase,40,12.9
11,9,W,Control,Sase,40,8.33
11,1,W,Control,XYase,40,1.52
11,3,W,Control,XYase,40,2.23
11,5,W,Control,XYase,40,2.46
11,4,W,Control,XYase,40,2.21
11,9,W,Control,XYase,40,2.08
11,1,W,+8°C,AGase,40,0.21
11,3,W,+8°C,AGase,40,0.02
11,5,W,+8°C,AGase,40,0.17
11,4,W,+8°C,AGase,40,0.41
11,9,W,+8°C,AGase,40,0.49
11,1,W,+8°C,BGase,40,7.73
11,3,W,+8°C,BGase,40,3.57
11,5,W,+8°C,BGase,40,12.09
11,4,W,+8°C,BGase,40,9.43
11,9,W,+8°C,BGase,40,12.06
11,1,W,+8°C,BPase,40,5.83
11,3,W,+8°C,BPase,40,3.08
11,5,W,+8°C,BPase,40,8.46
11,4,W,+8°C,BPase,40,7.78
11,9,W,+8°C,BPase,40,7.31
11,1,W,+8°C,CEase,40,2.48
11,3,W,+8°C,CEase,40,0.77
11,5,W,+8°C,CEase,40,1.81
11,4,W,+8°C,CEase,40,1.69
11,9,W,+8°C,CEase,40,2.81
11,1,W,+8°C,LPase,40,47.55
11,3,W,+8°C,LPase,40,18.06
11,5,W,+8°C,LPase,40,40.11
11,4,W,+8°C,LPase,40,NA
11,9,W,+8°C,LPase,40,60.85
11,1,W,+8°C,Pase,40,28.46
11,3,W,+8°C,Pase,40,22.15
11,5,W,+8°C,Pase,40,51.02
11,4,W,+8°C,Pase,40,39.16
11,9,W,+8°C,Pase,40,39.54
11,1,W,+8°C,Nase,40,4.91
11,3,W,+8°C,Nase,40,3.39
11,5,W,+8°C,Nase,40,6.22
11,4,W,+8°C,Nase,40,9.55
11,9,W,+8°C,Nase,40,11.09
11,1,W,+8°C,PXase,40,253.69
11,3,W,+8°C,PXase,40,251.05
11,5,W,+8°C,PXase,40,277.5
11,4,W,+8°C,PXase,40,355.47
11,9,W,+8°C,PXase,40,417.43
11,1,W,+8°C,Sase,40,7.31
11,3,W,+8°C,Sase,40,1.2
11,5,W,+8°C,Sase,40,6.29
11,4,W,+8°C,Sase,40,11.81
11,9,W,+8°C,Sase,40,13.42
11,1,W,+8°C,XYase,40,3.02
11,3,W,+8°C,XYase,40,0.86
11,5,W,+8°C,XYase,40,2.04
11,4,W,+8°C,XYase,40,1.52
11,9,W,+8°C,XYase,40,2.29
22,1,W,+3°C,AGase,10,0.091
22,2,W,Control,AGase,10,0.1
22,3,W,+3°C,AGase,10,0.075
22,4,W,Control,AGase,10,0.074
22,5,W,+3°C,AGase,10,0.046
22,6,W,Control,AGase,10,0.046
22,7,W,+3°C,AGase,10,0.141
22,8,W,Control,AGase,10,0.048
22,9,W,+3°C,AGase,10,0.11
22,10,W,Control,AGase,10,0.108
25,1,W,+3°C,AGase,10,0.057
25,2,W,Control,AGase,10,0.524
25,3,W,+3°C,AGase,10,0.064
25,4,W,Control,AGase,10,0.113
25,5,W,+3°C,AGase,10,0.066
25,6,W,Control,AGase,10,0.122
25,7,W,+3°C,AGase,10,0.093
25,8,W,Control,AGase,10,0.066
25,9,W,+3°C,AGase,10,0.013
25,10,W,Control,AGase,10,0.193
19,1,W,+3°C,AGase,10,0.1
19,2,W,Control,AGase,10,0.06
19,3,W,+3°C,AGase,10,0.05
19,4,W,Control,AGase,10,0.09
19,5,W,+3°C,AGase,10,0.08
19,6,W,Control,AGase,10,0.09
19,7,W,+3°C,AGase,10,0.11
19,8,W,Control,AGase,10,0.04
19,9,W,+3°C,AGase,10,0.14
19,10,W,Control,AGase,10,0.13
22,1,W,+3°C,AGase,22,0.218
22,2,W,Control,AGase,22,0.162
22,3,W,+3°C,AGase,22,0.274
22,4,W,Control,AGase,22,0.151
22,5,W,+3°C,AGase,22,0.109
22,6,W,Control,AGase,22,0.096
22,7,W,+3°C,AGase,22,0.241
22,8,W,Control,AGase,22,0.16
22,9,W,+3°C,AGase,22,0.141
22,10,W,Control,AGase,22,0.139
25,1,W,+3°C,AGase,22,0.172
25,2,W,Control,AGase,22,0.473
25,3,W,+3°C,AGase,22,0.141
25,4,W,Control,AGase,22,0.069
25,5,W,+3°C,AGase,22,0.002
25,6,W,Control,AGase,22,0.146
25,7,W,+3°C,AGase,22,0.134
25,8,W,Control,AGase,22,0.071
25,9,W,+3°C,AGase,22,0.086
25,10,W,Control,AGase,22,0.456
19,1,W,+3°C,AGase,22,0.22
19,2,W,Control,AGase,22,0.15
19,3,W,+3°C,AGase,22,0.25
19,4,W,Control,AGase,22,0.16
19,5,W,+3°C,AGase,22,0.08
19,6,W,Control,AGase,22,0.1
19,7,W,+3°C,AGase,22,0.13
19,8,W,Control,AGase,22,0.09
19,9,W,+3°C,AGase,22,0.19
19,10,W,Control,AGase,22,0.58
22,1,W,+3°C,AGase,30,0.383
22,2,W,Control,AGase,30,0.246
22,3,W,+3°C,AGase,30,0.164
22,4,W,Control,AGase,30,0.249
22,5,W,+3°C,AGase,30,0.14
22,6,W,Control,AGase,30,0.139
22,7,W,+3°C,AGase,30,0.344
22,8,W,Control,AGase,30,0.2
22,9,W,+3°C,AGase,30,0.165
22,10,W,Control,AGase,30,0.194
25,1,W,+3°C,AGase,30,0.332
25,2,W,Control,AGase,30,0.377
25,3,W,+3°C,AGase,30,0.335
25,4,W,Control,AGase,30,0.031
25,5,W,+3°C,AGase,30,0.099
25,6,W,Control,AGase,30,0.261
25,7,W,+3°C,AGase,30,0.36
25,8,W,Control,AGase,30,0.047
25,9,W,+3°C,AGase,30,0.164
25,10,W,Control,AGase,30,0.29
19,1,W,+3°C,AGase,30,0.28
19,2,W,Control,AGase,30,0.11
19,3,W,+3°C,AGase,30,0.67
19,4,W,Control,AGase,30,0.23
19,5,W,+3°C,AGase,30,0.1
19,6,W,Control,AGase,30,0.62
19,7,W,+3°C,AGase,30,0.39
19,8,W,Control,AGase,30,0.16
19,9,W,+3°C,AGase,30,0.22
19,10,W,Control,AGase,30,0.3
22,1,W,+3°C,AGase,40,0.691
22,2,W,Control,AGase,40,0.634
22,3,W,+3°C,AGase,40,NA
22,4,W,Control,AGase,40,0.285
22,5,W,+3°C,AGase,40,0.187
22,6,W,Control,AGase,40,0.205
22,7,W,+3°C,AGase,40,0.518
22,8,W,Control,AGase,40,0.181
22,9,W,+3°C,AGase,40,0.234
22,10,W,Control,AGase,40,0.304
25,1,W,+3°C,AGase,40,0.458
25,2,W,Control,AGase,40,0.989
25,3,W,+3°C,AGase,40,0.444
25,4,W,Control,AGase,40,0.01
25,5,W,+3°C,AGase,40,0.163
25,6,W,Control,AGase,40,0.164
25,7,W,+3°C,AGase,40,0.575
25,8,W,Control,AGase,40,0.292
25,9,W,+3°C,AGase,40,0.303
25,10,W,Control,AGase,40,0.466
19,1,W,+3°C,AGase,40,0.55
19,2,W,Control,AGase,40,0.21
19,3,W,+3°C,AGase,40,0.23
19,4,W,Control,AGase,40,0.42
19,5,W,+3°C,AGase,40,0.19
19,6,W,Control,AGase,40,0.22
19,7,W,+3°C,AGase,40,0.22
19,8,W,Control,AGase,40,0.24
19,9,W,+3°C,AGase,40,0.28
19,10,W,Control,AGase,40,0.54
22,1,W,+3°C,BGase,10,2.746
22,2,W,Control,BGase,10,4.701
22,3,W,+3°C,BGase,10,2.954
22,4,W,Control,BGase,10,2.274
22,5,W,+3°C,BGase,10,1.722
22,6,W,Control,BGase,10,1.22
22,7,W,+3°C,BGase,10,2.939
22,8,W,Control,BGase,10,1.448
22,9,W,+3°C,BGase,10,3.075
22,10,W,Control,BGase,10,2.695
25,1,W,+3°C,BGase,10,0.79
25,2,W,Control,BGase,10,1.372
25,3,W,+3°C,BGase,10,1.023
25,4,W,Control,BGase,10,0.462
25,5,W,+3°C,BGase,10,0.982
25,6,W,Control,BGase,10,0.705
25,7,W,+3°C,BGase,10,0.696
25,8,W,Control,BGase,10,0.533
25,9,W,+3°C,BGase,10,1.069
25,10,W,Control,BGase,10,0.694
19,1,W,+3°C,BGase,10,2.94
19,2,W,Control,BGase,10,2.71
19,3,W,+3°C,BGase,10,3.28
19,4,W,Control,BGase,10,3.17
19,5,W,+3°C,BGase,10,2.61
19,6,W,Control,BGase,10,2.52
19,7,W,+3°C,BGase,10,2.14
19,8,W,Control,BGase,10,1.59
19,9,W,+3°C,BGase,10,3.47
19,10,W,Control,BGase,10,3.94
22,1,W,+3°C,BGase,22,3.604
22,2,W,Control,BGase,22,3.086
22,3,W,+3°C,BGase,22,2.743
22,4,W,Control,BGase,22,3.115
22,5,W,+3°C,BGase,22,2.663
22,6,W,Control,BGase,22,1.854
22,7,W,+3°C,BGase,22,3.858
22,8,W,Control,BGase,22,2.162
22,9,W,+3°C,BGase,22,2.733
22,10,W,Control,BGase,22,3.612
25,1,W,+3°C,BGase,22,1.307
25,2,W,Control,BGase,22,2.353
25,3,W,+3°C,BGase,22,1.68
25,4,W,Control,BGase,22,0.578
25,5,W,+3°C,BGase,22,1.258
25,6,W,Control,BGase,22,0.82
25,7,W,+3°C,BGase,22,1.256
25,8,W,Control,BGase,22,1.237
25,9,W,+3°C,BGase,22,2.357
25,10,W,Control,BGase,22,1.306
19,1,W,+3°C,BGase,22,4.07
19,2,W,Control,BGase,22,3.5
19,3,W,+3°C,BGase,22,3.69
19,4,W,Control,BGase,22,4.74
19,5,W,+3°C,BGase,22,3.15
19,6,W,Control,BGase,22,2.77
19,7,W,+3°C,BGase,22,2.63
19,8,W,Control,BGase,22,2.26
19,9,W,+3°C,BGase,22,4.88
19,10,W,Control,BGase,22,9.63
22,1,W,+3°C,BGase,30,4.43
22,2,W,Control,BGase,30,3.44
22,3,W,+3°C,BGase,30,3.295
22,4,W,Control,BGase,30,4.504
22,5,W,+3°C,BGase,30,3.067
22,6,W,Control,BGase,30,2.03
22,7,W,+3°C,BGase,30,4.445
22,8,W,Control,BGase,30,4.053
22,9,W,+3°C,BGase,30,3.618
22,10,W,Control,BGase,30,4.069
25,1,W,+3°C,BGase,30,2.718
25,2,W,Control,BGase,30,4.986
25,3,W,+3°C,BGase,30,3.789
25,4,W,Control,BGase,30,0.849
25,5,W,+3°C,BGase,30,2.117
25,6,W,Control,BGase,30,1.205
25,7,W,+3°C,BGase,30,2.481
